id,text_snippet,labels,extracted_entities
1,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Objection, Competition, Positive","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
2,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Objection, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
3,The customer raised an objection about the pricing model and asked for a discount.,"Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
4,The customer raised an objection about the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Positive, Objection, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
5,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
6,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
7,The customer raised an objection about They appreciated the analytics and AI engine features.,"Objection, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
8,They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
9,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Pricing Discussion, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
10,The customer raised an objection about the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Objection, Pricing Discussion, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
11,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Security, Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
12,the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Pricing Discussion, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
13,The customer raised an objection about They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Objection, Security, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
14,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
15,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
16,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
17,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
18,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Pricing Discussion, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
19,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
20,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
21,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
22,They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
23,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
24,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
25,The customer raised an objection about the pricing model and asked for a discount.,"Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
26,They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
27,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
28,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
29,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
30,They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Security, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
31,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
32,The customer raised an objection about They inquired about SOC2 certification and data handling.,"Objection, Security","{'competitors': [], 'features': [], 'pricing_keywords': []}"
33,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
34,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
35,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Objection, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
36,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
37,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
38,The customer raised an objection about They inquired about SOC2 certification and data handling.,"Objection, Security","{'competitors': [], 'features': [], 'pricing_keywords': []}"
39,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
40,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
41,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Objection, Competition, Security","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
42,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
43,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
44,They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Security, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
45,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
46,The customer raised an objection about the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
47,the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Positive, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
48,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
49,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Pricing Discussion, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
50,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Security, Pricing Discussion, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
51,The customer raised an objection about They appreciated the analytics and AI engine features.,"Objection, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
52,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Objection, Pricing Discussion, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
53,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
54,They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Competition, Security","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
55,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
56,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
57,They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
58,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Objection, Security, Pricing Discussion","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
59,They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Competition, Positive","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
60,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
61,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
62,The customer raised an objection about They inquired about SOC2 certification and data handling.,"Security, Objection","{'competitors': [], 'features': [], 'pricing_keywords': []}"
63,The customer raised an objection about the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Objection, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
64,They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Security, Competition, Positive","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
65,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Competition, Objection","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
66,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative.,"Competition, Objection","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
67,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Objection, Security, Pricing Discussion","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
68,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Objection, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
69,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Security, Objection, Pricing Discussion","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
70,the pricing model and asked for a discount.,Pricing Discussion,"{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
71,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Pricing Discussion, Positive, Security","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
72,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
73,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
74,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
75,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
76,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
77,They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Positive, Security","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
78,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
79,The customer raised an objection about the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion, Objection","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
80,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
81,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
82,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Positive, Security, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
83,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Positive, Security, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
84,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
85,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative.,"Competition, Objection","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
86,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
87,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
88,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
89,The customer raised an objection about the pricing model and asked for a discount.,"Objection, Pricing Discussion","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
90,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
91,The customer raised an objection about the pricing model and asked for a discount.,"Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
92,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
93,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
94,The customer raised an objection about They appreciated the analytics and AI engine features.,"Objection, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
95,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
96,the pricing model and asked for a discount.,Pricing Discussion,"{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
97,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
98,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Competition, Objection, Security","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
99,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Objection, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
100,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
