id,text_snippet,labels,extracted_entities,ner_entities,final_entities
1,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Objection, Competition, Positive","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
2,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Objection, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
3,The customer raised an objection about the pricing model and asked for a discount.,"Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
4,The customer raised an objection about the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Positive, Objection, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
5,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
6,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
7,The customer raised an objection about They appreciated the analytics and AI engine features.,"Objection, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
8,They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
9,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Pricing Discussion, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
10,The customer raised an objection about the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Objection, Pricing Discussion, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
11,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Security, Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
12,the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Pricing Discussion, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
13,The customer raised an objection about They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Objection, Security, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
14,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
15,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
16,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
17,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
18,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Pricing Discussion, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
19,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
20,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
21,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
22,They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
23,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
24,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
25,The customer raised an objection about the pricing model and asked for a discount.,"Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
26,They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
27,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
28,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
29,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
30,They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Security, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
31,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
32,The customer raised an objection about They inquired about SOC2 certification and data handling.,"Objection, Security","{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
33,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
34,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
35,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Objection, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
36,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
37,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
38,The customer raised an objection about They inquired about SOC2 certification and data handling.,"Objection, Security","{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
39,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
40,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
41,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Objection, Competition, Security","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
42,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
43,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
44,They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Security, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
45,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
46,The customer raised an objection about the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
47,the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Positive, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
48,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
49,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Pricing Discussion, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
